price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,rate
1.30E+06,2,2.5,2910,19449,2,1,4,5,9,1940,970,1985,0,445.0171821
2.60E+06,3,3,3410,16015,2,1,4,4,10,2220,1190,1973,0,762.4633431
2.00E+06,3,3.25,2610,16387,2,1,4,3,9,2610,0,2006,0,766.2835249
3.64E+06,4,3.25,4830,22257,2,1,4,4,11,4830,0,1990,0,753.8095238
658000,2,1,1010,14244,1,1,4,1,5,1010,0,1926,0,651.4851485
1.95E+06,4,2.5,3440,14554,2,1,4,3,8,2170,1270,2012,0,566.8604651
840500,4,2.25,2290,12174,1,1,4,3,7,1490,800,1948,0,367.0305677
1.65E+06,3,2.25,2750,6203,1,1,4,5,7,1620,1130,1959,0,600
1.80E+06,5,3.75,4320,39094,2,1,4,3,8,4320,0,1938,0,416.6666667
1.64E+06,3,3.5,4660,21164,2,1,4,3,12,4660,0,1975,1990,351.3948498
700000,4,1.75,1950,7139,1,1,4,3,7,1150,800,1957,0,358.974359
1.34E+06,4,1.75,2300,13342,1.5,1,4,3,7,2300,0,1934,1958,580.4347826
1.60E+06,3,2.25,3370,23065,1,1,4,3,10,1920,1450,1980,0,474.7774481
1.31E+06,4,2.5,2680,12215,1,1,4,3,9,1590,1090,1956,0,488.619403
1.20E+06,2,2.25,2160,17861,2,1,4,4,9,2160,0,1956,0,555.5555556
869000,2,1.75,1900,13122,1,1,4,3,7,1100,800,1954,0,457.3684211
641500,1,1,1000,9084,1,1,3,3,7,1000,0,1950,0,641.5
800000,2,2.25,1730,31491,2,1,2,4,7,1730,0,1947,1988,462.4277457
2.57E+06,4,3.75,4475,20424,2,1,4,3,12,2659,1816,1999,0,575.1955307
2.51E+06,3,3.25,5480,57990,2,1,4,3,11,5480,0,1991,0,458.0291971
2.05E+06,4,3.25,3580,19989,1.5,1,4,4,7,3480,100,1915,1965,572.6256983
975000,6,2.75,2520,54160,2,1,4,3,7,2520,0,1954,0,386.9047619
1.60E+06,4,2.5,2980,13341,1.5,1,4,5,8,1800,1180,1928,0,535.2348993
528000,2,0.75,840,40642,1,1,4,4,6,840,0,1937,0,628.5714286
3.30E+06,3,3.25,4220,41300,1,1,4,4,11,2460,1760,1958,1987,781.9905213
2.37E+06,3,2.25,3530,17450,1,1,3,3,9,1840,1690,1930,1993,670.5382436
2.70E+06,4,3.25,4420,7850,2,1,4,3,11,3150,1270,2001,0,610.8597285
2.95E+06,4,3.25,3890,25470,2,1,3,5,10,3030,860,1923,0,758.3547558
570000,1,1,720,7540,1,1,4,4,6,720,0,1905,0,791.6666667
1.23E+06,4,2.5,3120,49456,2,1,4,4,9,2590,530,1974,1989,392.6282051
1.70E+06,3,2.75,2810,18731,2,1,4,4,10,2810,0,1974,0,604.9822064
1.68E+06,3,2.5,3490,8343,2,1,4,4,9,2150,1340,1939,1991,479.9426934
1.40E+06,3,2.75,3130,19530,1,1,4,3,8,1690,1440,1947,1984,447.284345
385000,2,1,830,26329,1,1,3,4,6,830,0,1928,0,463.8554217
1.41E+06,2,2,2180,18525,1,1,4,5,9,1580,600,1952,0,646.7889908
1.15E+06,3,1.75,1760,6788,2,1,4,3,7,1760,0,1940,1960,653.4090909
988500,3,2.75,2015,16807,2,1,4,3,9,2015,0,2007,0,490.5707196
1.90E+06,3,2.5,2830,4334,3,1,4,3,10,2830,0,2006,0,670.6713781
3.00E+06,3,3.5,4410,10756,2,1,4,3,11,3430,980,2014,0,680.2721088
2.30E+06,4,4,4360,8175,2.5,1,4,3,10,3940,420,2007,0,527.5229358
2.23E+06,3,3.5,3760,5634,2,1,4,3,11,2830,930,2014,0,593.0851064
374000,2,1.5,1260,1575,2,0,0,3,7,1260,0,2001,0,296.8253968
561000,4,2.5,2550,5395,2,0,0,3,8,2550,0,2001,0,220
635000,3,3,2230,1407,2.5,0,0,3,8,1850,380,2014,0,284.7533632
235000,1,1.5,1170,1456,2,0,0,3,8,1070,100,2007,0,200.8547009
623300,4,3.5,4170,4524,2,0,0,3,9,3500,670,2007,0,149.4724221
412500,3,2,1680,5246,1,0,0,3,7,1680,0,2007,0,245.5357143
380000,4,3.25,2864,8035,3,0,0,3,8,2864,0,2014,0,132.6815642
452000,4,2.5,2716,7850,2,0,0,3,9,2716,0,2014,0,166.4212077
312000,3,2.5,1750,4076,2,0,0,3,7,1750,0,2013,0,178.2857143
469950,5,3,3223,6371,2,0,0,3,9,3223,0,2014,0,145.8113559
775000,5,2.5,2600,4284,2,0,0,3,9,2600,0,2014,0,298.0769231
679990,4,2.75,3320,8653,2,0,0,3,8,3320,0,2014,0,204.8162651
288790,4,2,1350,942,3,0,0,3,7,1350,0,2008,0,213.9185185
800000,5,2.5,3410,4726,2,0,0,3,9,3410,0,2007,0,234.6041056
299000,3,2.5,1572,4000,2,0,0,3,8,1572,0,2013,0,190.2035623
332000,4,2.5,2300,4482,2,0,0,3,7,2300,0,2013,0,144.3478261
452000,4,2.5,2190,6896,2,0,0,3,7,2190,0,2007,0,206.3926941
630000,4,3,3640,5096,2,0,0,3,8,2740,900,2010,0,173.0769231
485000,4,2.75,2790,7803,2,0,0,3,8,2790,0,2013,0,173.8351254
349950,4,2.5,2632,4117,2,0,0,3,8,2632,0,2013,0,132.9597264
499990,4,2.75,2910,6334,2,0,0,3,8,2910,0,2013,0,171.8178694
494000,3,2.5,2310,4729,2,0,0,3,8,2310,0,2011,0,213.8528139
429900,3,2.5,2370,5353,2,0,0,3,8,2370,0,2009,0,181.3924051
505000,4,2.75,2980,9825,1,0,0,3,8,1910,1070,2007,0,169.4630872
272000,4,2,1870,6551,1,0,3,3,7,1870,0,2009,0,145.4545455
729950,4,3.5,3510,10010,2,0,0,3,10,3510,0,2001,0,207.962963
471835,4,2.5,3281,5354,2,0,0,3,9,3281,0,2014,0,143.8082902
249950,3,2,1670,4438,1,0,0,3,7,1670,0,2014,0,149.6706587
424950,5,3.5,2760,3846,2.5,0,0,3,8,2760,0,2013,0,153.9673913
1.24E+06,5,3.5,5430,10327,2,0,2,3,10,4010,1420,2007,0,228.3609576
440000,4,2.5,2990,7928,2,0,0,3,9,2990,0,2011,0,147.1571906
495000,4,3.5,3170,3858,2,0,0,3,8,2530,640,2008,0,156.1514196
870000,4,2.5,3520,6773,2.5,0,0,3,9,2650,870,2006,0,247.1590909
495000,4,2.75,2656,21195,2,0,0,3,9,2656,0,2014,0,186.3704819
567500,3,2.5,2280,2502,2,0,0,3,8,1880,400,2006,0,248.9035088
440000,4,2.5,2798,5085,2,0,0,3,9,2798,0,2011,0,157.2551823
400000,4,2.5,2398,5988,2,0,0,3,8,2398,0,2008,0,166.8056714
459995,4,2.5,2350,3760,2,0,0,3,8,2350,0,2014,0,195.7425532
365000,5,2.75,2410,5003,1,0,0,3,7,1410,1000,2008,0,151.4522822
389950,3,2.25,1580,920,3,0,0,3,8,1580,0,2015,0,246.8037975
320000,3,3.25,1450,1387,2,0,0,3,8,1180,270,2013,0,220.6896552
415500,4,2.5,1750,4779,2,0,0,3,7,1750,0,2009,0,237.4285714
775000,3,2.5,3020,4120,2,0,0,3,9,2360,660,2008,0,256.6225166
378950,4,2.5,1867,15314,2,0,0,3,9,1867,0,2013,0,202.9726834
335900,4,2.75,2475,4000,2,0,0,3,7,2475,0,2014,0,135.7171717
229800,2,1.75,1110,1773,2,0,0,3,8,1110,0,2014,0,207.027027
448000,3,3.25,1560,1345,2,0,0,3,8,1260,300,2009,0,287.1794872
706000,4,2.5,2510,5436,2,0,0,3,8,2510,0,2011,0,281.2749004
988990,4,4.75,4150,6303,3,0,0,3,9,4150,0,2014,0,238.3108434
319000,2,1.5,1090,847,3,0,0,3,8,1090,0,2009,0,292.6605505
300000,4,2.5,1914,3272,2,0,0,3,8,1914,0,2009,0,156.7398119
625000,4,3.25,2730,54014,1,0,0,3,9,1560,1170,2007,0,228.9377289
392000,5,2.5,2340,5670,2,0,0,3,7,2340,0,2009,0,167.5213675
549995,4,3.5,2660,5690,2,0,0,3,8,1920,740,2014,0,206.7650376
480000,3,2.5,2410,4656,2,0,0,3,7,2410,0,2009,0,199.1701245
355000,3,2.25,1430,4777,2,0,0,3,7,1430,0,2010,0,248.2517483
208400,2,2.5,1570,1268,3,0,0,3,7,1570,0,2007,0,132.7388535
831548,5,2.75,3010,4919,2,0,0,3,9,3010,0,2014,0,276.261794
279500,4,2.5,1613,4338,2,0,0,3,7,1613,0,2009,0,173.2796032
445000,3,2.5,2380,5269,2,0,0,3,8,2380,0,2008,0,186.9747899
492500,5,2.5,2570,9962,2,0,0,3,8,2570,0,2006,0,191.6342412
435000,4,2.5,2550,5200,2,0,0,3,7,2550,0,2009,0,170.5882353
325000,3,2.25,1330,969,3,0,0,3,7,1330,0,2007,0,244.3609023
612995,5,3.5,3240,6919,2,0,0,3,8,2760,480,2014,0,189.1959877
540000,4,2.5,2710,9248,2,0,0,3,7,2710,0,2011,0,199.2619926
331000,2,2.25,1240,720,2,0,0,3,7,1150,90,2008,0,266.9354839
490000,4,2.5,2510,4349,2,0,0,3,8,2510,0,2010,0,195.2191235
627000,3,3.5,2710,3475,2,0,0,3,8,1650,1060,2005,0,231.3653137
458000,4,3.5,3217,4000,2,0,0,3,8,2587,630,2008,0,142.3686665
440000,3,2.5,1650,4929,2,0,0,3,7,1520,130,2007,0,266.6666667
641000,5,3.5,3420,6403,2,0,2,3,8,2700,720,2013,0,187.4269006
452000,3,2.75,2300,5090,2,0,0,3,8,1700,600,2007,0,196.5217391
625000,4,2.75,3010,6854,2,0,2,3,9,2570,440,2012,0,207.641196
1.35E+06,4,3.5,4680,12495,2,0,0,3,10,3040,1640,2008,0,288.4615385
834950,5,3.5,3630,4911,2,0,0,3,9,2790,840,2014,0,230.0137741
305000,4,2.5,2280,3800,2,0,0,3,7,2280,0,2006,0,133.7719298
659000,3,2.5,3090,384634,2,0,0,3,8,3090,0,2007,0,213.2686084
535000,4,3.25,2840,4000,2,0,3,3,9,2330,510,2014,0,188.3802817
375000,3,2.5,1440,1102,3,0,0,3,8,1440,0,2009,0,260.4166667
685000,4,3.5,2840,4637,3,0,0,3,8,2840,0,2008,0,241.1971831
333000,4,2.5,2623,7184,2,0,0,3,8,2623,0,2012,0,126.9538696
329950,2,2.25,1260,1032,2,0,0,3,7,1170,90,2008,0,261.8650794
559630,4,2.5,3370,4934,2,0,0,3,9,3370,0,2014,0,166.0623145
344000,3,2.25,1250,871,3,0,0,3,8,1250,0,2007,0,275.2
430000,2,2.5,1520,1588,2,0,0,3,8,1240,280,2007,0,282.8947368
417000,3,2.5,2000,4500,2,0,0,3,7,2000,0,2010,0,208.5
895950,5,2.75,3180,9255,2,0,0,3,9,3180,0,2014,0,281.745283
563950,4,2.75,3050,4750,2,0,0,3,8,3050,0,2014,0,184.9016393
332220,3,1.5,2580,47480,1,0,0,3,7,1360,1220,1953,0,128.7674419
680000,3,2.5,2570,3600,2.5,0,0,3,9,2570,0,2007,0,264.5914397
825750,4,3.5,2950,3737,2,0,0,3,10,2270,680,2012,0,279.9152542
338000,3,2.5,1690,1760,2,0,0,3,8,1410,280,2014,0,200
535365,4,2.75,2790,6969,2,0,0,3,8,2790,0,2012,0,191.8870968
667000,3,2.5,2510,3819,2,0,0,3,8,2510,0,2007,0,265.7370518
495000,4,2.5,3390,7870,2,0,0,3,8,3390,0,2014,0,146.0176991
928990,4,2.5,3570,6054,2,0,0,3,9,3570,0,2014,0,260.2212885
345000,4,2.5,2280,5000,2,0,0,3,7,2280,0,2006,0,151.3157895
519995,4,3,2590,6160,2,0,0,3,8,2590,0,2014,0,200.7702703
924000,5,2.75,3210,8001,2,0,0,3,9,3210,0,2014,0,287.8504673
295000,3,2,1230,3405,1,0,0,3,7,1230,0,2010,0,239.8373984
472000,3,2.5,3800,104979,2,0,0,3,8,3210,590,2005,0,124.2105263
405000,3,2.5,1500,2314,2,0,0,3,7,1500,0,2005,0,270
410000,4,2.25,2510,4090,2,0,0,3,8,1840,670,2012,0,163.3466135
419500,3,1.5,1400,1091,3,0,0,3,8,1400,0,2007,0,299.6428571
382000,3,2.25,1450,4667,2,0,0,3,7,1450,0,2009,0,263.4482759
370000,2,2.5,1390,1821,2,0,0,3,7,1180,210,2007,0,266.1870504
553000,3,2.75,3160,9072,2,0,0,3,9,3160,0,2005,0,175
455950,4,2.5,2720,5771,2,0,0,3,8,2720,0,2015,0,167.6286765
331000,3,3.25,1290,1153,3,0,0,3,7,1290,0,2008,0,256.5891473
417250,3,2.25,1606,1452,3,0,0,3,8,1606,0,2009,0,259.8069738
490000,5,3.5,4460,2975,3,0,2,3,10,3280,1180,2015,0,109.8654709
325000,4,3.25,2800,5291,2,0,0,3,7,2800,0,2011,0,116.0714286
705000,5,3.5,3250,4800,2,0,0,3,9,2410,840,2010,0,216.9230769
1.17E+06,6,3.5,4310,7760,2,0,0,3,10,3260,1050,2013,0,272.5429234
365000,3,2.25,1310,915,2,0,0,3,7,1060,250,2007,0,278.6259542
409000,3,2.5,1950,7263,2,0,0,3,7,1950,0,2007,0,209.7435897
391000,3,2.5,1800,1120,2,0,0,3,8,1800,0,2011,0,217.2222222
542525,4,2.5,2650,5600,2,0,0,3,8,2650,0,2014,0,204.7264151
499990,4,2.75,2620,7001,2,0,0,3,8,2620,0,2012,0,190.8358779
392000,4,2.5,2130,4028,2,0,0,3,8,2130,0,2014,0,184.0375587
320000,3,1.75,1790,66250,1.5,0,0,3,7,1790,0,2003,0,178.7709497
274800,3,1.75,1410,1988,2,0,0,3,8,1410,0,2014,0,194.893617
325000,3,2.25,1330,1198,2,0,0,3,8,1080,250,2007,0,244.3609023
418500,4,2.5,2190,4866,2,0,0,3,7,2190,0,2009,0,191.0958904
300000,3,2.5,2540,5050,2,0,0,3,7,2540,0,2006,0,118.1102362
269950,3,2.5,2244,4079,2,0,0,3,7,2244,0,2012,0,120.298574
358000,3,2.5,2026,7611,2,0,0,3,8,2026,0,2010,0,176.7028628
350000,3,2.5,1730,4086,2,0,0,3,8,1730,0,2013,0,202.3121387
782000,4,3.5,3910,8095,2,0,0,3,9,3130,780,2007,0,200
685000,4,2.5,2510,3479,2,0,0,3,8,2510,0,2007,0,272.9083665
350000,4,2.5,1660,2500,2,0,0,3,7,1660,0,2007,0,210.8433735
775000,4,3.5,3060,4573,2,0,0,3,9,2410,650,2012,0,253.2679739
317750,3,2.5,1980,4500,2,0,0,3,7,1980,0,2012,0,160.479798
830000,4,3.25,3080,4287,2,0,0,3,10,2230,850,2012,0,269.4805195
353000,3,2.25,1900,3800,2,0,0,3,7,1900,0,2006,0,185.7894737
460000,4,2.5,2200,6400,2,0,0,3,8,2200,0,2010,0,209.0909091
370000,3,1.5,1360,1167,3,0,0,3,8,1360,0,2008,0,272.0588235
330000,3,2.5,2238,7209,2,0,0,3,8,2238,0,2011,0,147.4530831
569888,4,2.5,2590,6474,2,0,0,3,8,2590,0,2014,0,220.0339768
353900,3,2.5,2517,3900,2,0,0,3,8,2517,0,2014,0,140.6038935
695000,4,3.5,3510,9084,2,0,0,3,10,3510,0,2001,0,198.005698
288790,3,1.75,1290,1237,2,0,0,3,7,1060,230,2008,0,223.8682171
334950,5,3,2230,8642,1,0,0,3,7,1330,900,2014,0,150.2017937
869950,4,2.75,3140,7928,2,0,0,3,9,3140,0,2013,0,277.0541401
557500,3,3.5,3350,5025,2,0,2,3,8,2670,680,2014,0,166.4179104
389990,4,2.5,2245,4330,2,0,0,3,8,2245,0,2014,0,173.714922
750000,4,2.75,2810,5497,2,0,0,3,9,2810,0,2011,0,266.9039146
299950,3,2.5,1740,4497,2,0,0,3,7,1740,0,2012,0,172.3850575
374950,3,2.25,1390,1484,3,0,0,3,8,1390,0,2007,0,269.7482014
535000,5,3.25,2850,4551,2,0,0,3,8,2370,480,2006,0,187.7192982
890000,5,3.25,4100,7578,2,0,2,3,10,4100,0,2011,0,217.0731707
436952,4,2.5,2708,4772,2,0,0,3,9,2708,0,2014,0,161.3559823
365000,3,2.5,1800,2700,2,0,0,3,8,1800,0,2011,0,202.7777778
288000,3,2.5,1150,887,3,0,0,3,7,1150,0,2007,0,250.4347826
800000,4,3.25,3540,159430,2,0,0,3,9,3540,0,2007,0,225.9887006
465750,3,2.5,2670,4534,2,0,0,3,9,2670,0,2007,0,174.4382022
494995,5,2.75,2670,3800,2,0,0,3,8,2670,0,2014,0,185.3913858
255000,3,2.5,2555,5720,2,0,0,3,8,2555,0,2006,0,99.80430528
530000,3,2.5,1970,6295,2,0,0,3,7,1970,0,2011,0,269.035533
435000,3,2,1980,2674,3,0,0,3,8,1980,0,2007,0,219.6969697
914500,4,2.5,3950,10856,3,0,0,3,10,3950,0,2013,0,231.5189873
250000,1,1.5,1180,1688,2,0,0,3,8,1070,110,2007,0,211.8644068
410000,3,2.5,1420,1269,3,0,0,3,7,1420,0,2007,0,288.7323944
531155,4,2.75,2810,5046,2,0,0,3,9,2810,0,2014,0,189.0231317
358000,3,2.5,1400,1529,2,0,0,3,7,1400,0,2005,0,255.7142857
425000,3,2.5,1950,5689,2,0,0,3,7,1950,0,2009,0,217.9487179
326000,3,2.25,1930,3462,2,0,0,3,7,1930,0,2004,0,168.9119171
650000,4,2.5,2210,4861,2,0,0,3,9,2210,0,2013,0,294.1176471
749950,4,3.5,2630,3757,2,0,0,3,10,2200,430,2008,0,285.1520913
239950,3,1.75,1600,4888,1,0,0,3,6,1600,0,2014,0,149.96875
315000,3,2.5,1480,1590,2,0,0,3,8,1150,330,2010,0,212.8378378
375000,3,1.5,1290,1213,3,0,0,3,8,1290,0,2007,0,290.6976744
349000,3,3.25,1340,1151,3,0,0,3,7,1340,0,2008,0,260.4477612
669950,3,3,2330,1944,2.5,0,0,3,8,1950,380,2014,0,287.5321888
504600,5,3,2360,5000,1,0,0,3,7,1390,970,2008,0,213.8135593
400000,3,2.5,1495,936,3,0,0,3,8,1405,90,2006,0,267.5585284
1.02E+06,4,3.5,3770,8501,2,0,0,3,10,3770,0,2008,0,270.5570292
518000,5,2.5,2890,13104,2,0,0,3,8,2890,0,2006,0,179.2387543
337500,4,2.5,2330,4907,2,0,0,3,7,2330,0,2013,0,144.8497854
380000,4,2.5,3120,5001,2,0,0,3,9,3120,0,2005,0,121.7948718
875000,5,3,2960,15152,2,0,0,3,9,2960,0,2004,0,295.6081081
385000,3,2.25,1630,1598,3,0,0,3,8,1630,0,2008,0,236.196319
649500,4,3,3150,6599,2,0,0,3,9,3150,0,2008,0,206.1904762
249000,3,1,1030,24750,1,0,2,3,5,1030,0,1943,0,241.7475728
525000,4,2.5,3130,5795,2,0,0,3,9,3130,0,2008,0,167.7316294
359800,5,2.5,2170,2752,2,0,0,3,8,2170,0,2014,0,165.8064516
330000,3,2.5,1520,3003,2,0,0,3,7,1520,0,2009,0,217.1052632
1.01E+06,4,3.25,3610,4000,2,0,0,3,9,2640,970,2007,0,280
599832,3,2.75,3230,5200,2,0,0,3,9,2680,550,2014,0,185.7065015
312891,5,3,2300,8214,2,0,0,3,8,2300,0,2013,0,136.0395652
495000,3,2.5,1750,1548,3,0,0,3,9,1750,0,2013,0,282.8571429
819995,5,2.75,3030,10335,2,0,0,3,9,3030,0,2013,0,270.6254125
407500,3,3.5,1522,1465,2,0,0,3,8,1248,274,2006,0,267.739816
850000,4,3.75,3890,22000,2,0,0,3,10,3890,0,2007,0,218.5089974
579000,4,2.75,3220,9825,2,0,0,3,8,3220,0,2012,0,179.8136646
890776,5,2.75,3170,8093,2,0,0,3,9,3170,0,2014,0,281.0018927
529000,3,1.75,2340,7724,1,0,0,3,10,2340,0,2010,0,226.0683761
484000,3,2.25,1620,1425,3,0,0,3,8,1540,80,2009,0,298.7654321
400000,3,2.5,1910,4408,3,0,0,3,8,1910,0,2007,0,209.4240838
649950,3,2.5,2420,6847,2,0,0,3,9,2420,0,2009,0,268.5743802
915000,3,4.5,3850,62726,2,0,0,3,10,3120,730,2013,0,237.6623377
534950,5,2.5,3220,10572,2,0,0,3,8,3220,0,2006,0,166.1335404
776000,4,2.5,3040,6425,2,0,0,3,8,3040,0,2008,0,255.2631579
370000,3,1.75,1496,1423,2,0,0,3,8,1248,248,2006,0,247.3262032
850000,5,3.5,4200,5400,2,0,0,3,9,3140,1060,2012,0,202.3809524
443000,3,2.5,2430,7049,2,0,0,3,8,2430,0,2007,0,182.3045267
1.15E+06,5,4.25,4010,8252,2,0,0,3,10,4010,0,2015,0,286.7830424
377500,3,2.5,1350,886,3,0,0,3,8,1270,80,2006,0,279.6296296
